zip_code,first_dose,second_dose,single_dose,atleast_one_dose,fully_vaccinated,file_date
20906,53916,48460,2420,56336,50880,2021-11-17
20878,49693,44525,3355,53048,47880,2021-11-17
20874,43630,39543,3373,47003,42916,2021-11-17
21234,41902,38732,2974,44876,41706,2021-11-17
20904,41720,37416,1636,43356,39052,2021-11-17
20854,40454,35436,2108,42562,37544,2021-11-17
20850,38686,34813,2490,41176,37303,2021-11-17
21122,36713,33950,3061,39774,37011,2021-11-17
21117,37764,34567,2334,40098,36901,2021-11-17
20902,38552,34097,1888,40440,35985,2021-11-17
21043,36656,33767,2136,38792,35903,2021-11-17
21228,35879,33098,2470,38349,35568,2021-11-17
21224,33509,30033,3387,36896,33420,2021-11-17
21042,34230,31439,1945,36175,33384,2021-11-17
20852,34932,31046,1881,36813,32927,2021-11-17
21061,31814,28936,2588,34402,31524,2021-11-17
21044,32280,29760,1742,34022,31502,2021-11-17
20774,33043,29603,1503,34546,31106,2021-11-17
21222,29945,27301,3441,33386,30742,2021-11-17
21215,31158,27620,1975,33133,29595,2021-11-17
21093,30142,27594,1857,31999,29451,2021-11-17
21740,27085,24478,4694,31779,29172,2021-11-17
20772,30602,27539,1387,31989,28926,2021-11-17
20910,30543,26853,1628,32171,28481,2021-11-17
21045,29173,26765,1685,30858,28450,2021-11-17
