lender,count,total_approved,ave_approved,total_undisbursed,ave_undisbursed,undisb_ratio
DreamSpring,1,8325,8325,8325,8325,100
"Leader Bank, National Association",775,13260209,17109.95,11098606,14320.78,84
Florida A&M University FCU,15,244385.57,16292.37,204275.57,13618.37,84
Texas National Bank,127,2400315,18900.12,1843331,14514.42,77
"BSD Capital, LLC dba Lendistry",4876,86419629,17723.47,40619958,8330.59,47
1st Choice CU,9,115402.5,12822.5,52641,5849,46
NextMark FCU,2,33133.75,16566.88,15073.75,7536.88,45
The Enterprise Center Capital Corporation,338,5950376.51,17604.66,2017422.33,5968.71,34
"Newtek Small Business Finance, Inc.",121,1081200,8935.54,260100,2149.59,24
"Capital Plus Financial, LLC",8423,136844089,16246.48,29789767,3536.72,22
